player,assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage
Taskinn#Ege,"1,603","1,125,564",2225,bronze,1272,4575,367,6052,899153
hey kewtiie#KuneN,"1,598","1,022,017",2612,iron,771,5244,373,5565,968810
RITHIKBRONZE3#1234,"1,592","948,633",2408,bronze,851,5006,318,4911,930230
sushanth#20051,"1,582","983,856",3118,bronze,793,4821,328,4987,914291
CASAE0#kuu,"1,579","1,009,401",3866,bronze,889,5887,350,5403,1106435
meisundahui#1110,"1,571","1,009,520",3330,bronze,750,5135,343,5120,958012
caba#0303,"1,560","936,672",2770,bronze,874,4923,292,4716,986783
exotic0101#7323,"1,549","1,007,052",2647,bronze,835,5480,328,5052,1011281
sarrugesan#2005,"1,545","960,568",3024,bronze,829,5050,334,4855,939384
sskaki12#9722,"1,544","1,131,456",2496,bronze,968,5868,414,5837,1069312
Tatya vichu#1780,"1,537","987,438",2617,bronze,891,5283,332,5117,970379
chutkaraja#5311,"1,534","1,246,735",4026,bronze,912,6203,356,6463,1168315
CR7THEGOAT#kill,"1,527","1,111,245",2284,bronze,960,5345,361,5883,947066
VORTEX aka AVI7#7890,"1,519","1,099,303",3056,bronze,1022,6229,355,5803,1158651
Volcano#Volly,"1,518","966,294",1762,iron,764,4109,307,5078,802107
DEVILES#4646,"1,516","957,445",2775,bronze,866,4999,318,5196,920454
BoinBoino#0810,"1,496","1,050,639",2664,bronze,969,5034,357,5548,917540
Hi sage#god,"1,492","1,113,291",3256,bronze,1067,5963,375,5921,1112903
ThieuUyThieuDa#9999,"1,481","934,368",2942,bronze,791,4861,310,4978,976251
Qmeplz#999,"1,481","941,599",3219,bronze,783,4517,320,5036,870426
DOPExVENOM#6969,"1,477","1,123,369",3146,bronze,954,5806,385,6106,1091702
natiiiii#6246,"1,476","961,755",2256,bronze,817,4727,350,5097,880910
CongAnDanhDan#21022,"1,476","1,008,813",3375,bronze,934,5510,338,5183,1019190
Aizen sosuke 123#111,"1,464","1,156,021",4492,bronze,1064,6476,424,6209,1170391
AliA#9872,"1,458","1,031,238",2249,bronze,801,4734,374,5411,958442
4DRohit#8713,"1,453","1,140,206",2817,bronze,852,5567,356,5959,1099992
